,0,1
0,epoch,0.0
1,640,0.008976459503173828
2,1280,0.007978677749633789
3,1920,0.008975744247436523
4,2560,0.008976221084594727
5,3200,0.007978677749633789
6,3840,0.007978439331054688
7,4480,0.007978677749633789
8,5120,0.007978677749633789
9,5760,0.007978439331054688
10,6400,0.009119749069213867
11,7040,0.009973287582397461
12,7680,0.008975982666015625
13,8320,0.008975744247436523
14,8960,0.008976221084594727
15,9600,0.008975982666015625
16,10240,0.008975505828857422
17,10880,0.007978677749633789
18,11520,0.007976055145263672
19,12160,0.008975982666015625
20,12800,0.008978128433227539
21,13440,0.008977651596069336
22,14080,0.007978677749633789
23,14720,0.008975982666015625
24,15360,0.008975982666015625
25,16000,0.007978677749633789
26,16640,0.008976221084594727
27,17280,0.007978677749633789
28,17920,0.008977651596069336
29,18560,0.007978439331054688
30,19200,0.008975982666015625
31,19840,0.007978677749633789
32,20480,0.008975982666015625
33,21120,0.007978677749633789
34,21760,0.009988546371459961
35,22400,0.008975982666015625
36,23040,0.00799107551574707
37,23680,0.008975982666015625
38,24320,0.008975982666015625
39,24960,0.008976221084594727
40,25600,0.00797891616821289
41,26240,0.008978128433227539
42,26880,0.008975982666015625
43,27520,0.008976221084594727
44,28160,0.00797891616821289
45,28800,0.008975982666015625
46,29440,0.008975505828857422
47,30080,0.008974790573120117
48,30720,0.007978677749633789
49,31360,0.008975982666015625
50,32000,0.008975982666015625
51,32640,0.008975982666015625
52,33280,0.008975982666015625
53,33920,0.00997304916381836
54,34560,0.008975744247436523
55,35200,0.007491111755371094
56,35840,0.007978677749633789
57,36480,0.007978439331054688
58,37120,0.008975982666015625
59,37760,0.00848698616027832
60,38400,0.007978439331054688
61,39040,0.008975505828857422
62,39680,0.00897669792175293
63,40320,0.007978677749633789
64,40960,0.008976221084594727
65,41600,0.008975744247436523
66,42240,0.008976221084594727
67,42880,0.008975744247436523
68,43520,0.008975982666015625
69,44160,0.008975982666015625
70,44800,0.007978677749633789
71,45440,0.008975744247436523
72,46080,0.008975744247436523
73,46720,0.008976936340332031
74,47360,0.007978677749633789
75,48000,0.008976221084594727
76,48640,0.007978677749633789
77,49280,0.008976221084594727
78,49920,0.008482694625854492
79,50560,0.008974552154541016
80,51200,0.008975982666015625
81,51840,0.008975982666015625
82,52480,0.007979154586791992
83,53120,0.008976936340332031
84,53760,0.008975982666015625
85,54400,0.008975744247436523
86,55040,0.008975982666015625
87,55680,0.007978677749633789
88,56320,0.008976221084594727
89,56960,0.008993148803710938
90,57600,0.008975744247436523
91,58240,0.007978439331054688
92,58880,0.008975982666015625
93,59520,0.008976221084594727
94,epoch,1.0
95,640,0.009974241256713867
96,1280,0.008976221084594727
97,1920,0.007977485656738281
98,2560,0.008975982666015625
99,3200,0.008976221084594727
